date,sales
01-01-1980,2440
01-02-1980,2490
01-03-1980,2710
01-04-1980,2290
01-05-1980,1960
01-06-1980,1990
01-07-1980,1960
01-08-1980,2530
01-09-1980,2640
01-10-1980,2650
01-11-1980,2150
01-12-1980,1910
01-01-1981,2510
01-02-1981,2100
01-03-1981,1840
01-04-1981,2330
01-05-1981,1830
01-06-1981,2290
01-07-1981,2090
01-08-1981,2340
01-09-1981,2420
01-10-1981,1850
01-11-1981,1960
01-12-1981,2000
01-01-1982,2300
01-02-1982,2160
01-03-1982,1730
01-04-1982,2090
01-05-1982,1890
01-06-1982,2180
01-07-1982,1950
01-08-1982,2020
01-09-1982,1770
01-10-1982,1960
01-11-1982,1860
01-12-1982,1340
01-01-1983,2150
01-02-1983,2180
01-03-1983,2030
01-04-1983,1730
01-05-1983,1860
01-06-1983,1880
01-07-1983,2120
01-08-1983,2140
01-09-1983,2090
01-10-1983,1890
01-11-1983,1840
01-12-1983,2130
01-01-1984,2650
01-02-1984,2750
01-03-1984,2570
01-04-1984,2250
01-05-1984,2090
01-06-1984,2400
01-07-1984,1960
01-08-1984,2490
01-09-1984,2830
01-10-1984,2240
01-11-1984,2070
01-12-1984,2260
01-01-1985,2850
01-02-1985,2470
01-03-1985,2340
01-04-1985,1970
01-05-1985,2340
01-06-1985,2620
01-07-1985,2040
01-08-1985,2380
01-09-1985,3090
01-10-1985,2710
01-11-1985,2470
01-12-1985,2620
01-01-1986,3170
01-02-1986,3520
01-03-1986,3000
01-04-1986,3420
01-05-1986,3250
01-06-1986,3270
01-07-1986,2970
01-08-1986,3520
01-09-1986,3040
01-10-1986,3190
01-11-1986,2710
01-12-1986,2900
01-01-1987,3240
01-02-1987,2960
01-03-1987,2760
01-04-1987,2380
01-05-1987,2320
01-06-1987,2500
01-07-1987,2300
01-08-1987,2620
01-09-1987,2570
01-10-1987,2630
01-11-1987,2400
01-12-1987,2110
01-01-1988,2760
01-02-1988,2320
01-03-1988,2350
01-04-1988,2300
01-05-1988,2350
01-06-1988,2360
01-07-1988,2190
01-08-1988,2400
01-09-1988,1850
01-10-1988,1900
01-11-1988,1740
01-12-1988,2120
01-01-1989,2450
01-02-1989,2840
01-03-1989,2330
01-04-1989,2520
01-05-1989,3130
01-06-1989,2960
01-07-1989,2650
01-08-1989,3070
01-09-1989,3240
01-10-1989,2510
01-11-1989,1910
01-12-1989,2310
01-01-1990,2830
01-02-1990,2600
01-03-1990,2400
01-04-1990,2740
01-05-1990,1740
01-06-1990,2060
01-07-1990,2310
01-08-1990,2400
01-09-1990,2510
01-10-1990,2530
01-11-1990,2040
